Annotated sentence	Intent	Training
I want to book a [restaurant](restaurant_type) in [Reily](city) [VT](state).	BookRestaurant	True
book spot for [7](party_size_number) at a [steakhouse](restaurant_type) in [Bulgaria](country)	BookRestaurant	True
I want to book a [restaurant](restaurant_type) in [NM](state) for [two](party_size_number) people.	BookRestaurant	True
table for [1](party_size_number) please	BookRestaurant	True
Book a reservation for a party of [6](party_size_number) at [The Waterside Inn](restaurant_name)	BookRestaurant	True
book a party of [nine](party_size_number) for an [indoor](facility) [cafe](restaurant_type)	BookRestaurant	True
Book a reservation at a [restaurant](restaurant_type) [nearby](spatial_relation) [their airbnb](poi)	BookRestaurant	True
Book a reservation for [one](party_size_number) at [Bouchon](restaurant_name) in [Oregon](state) on [6/13/2039](timeRange)	BookRestaurant	True
Book a [restaurant](restaurant_type) reservation for [nine](party_size_number) in [VA](state) on [August 21](timeRange)	BookRestaurant	True
table for [7](party_size_number) at [Blueberry Hill](restaurant_name)	BookRestaurant	True
I want to book a [restaurant](restaurant_type) for [five](party_size_number) people.	BookRestaurant	True
I want to book a [bistro](restaurant_type) that serves [pasta salad](served_dish) in [Brazil](country).	BookRestaurant	True
book a party of [six](party_size_number) at [Atascadero](city)	BookRestaurant	True
book a [restaurant](restaurant_type) for [seven](party_size_number) in [Sudan](country)	BookRestaurant	True
I want to book a [restaurant](restaurant_type) in [Federated States Of Micronesia](state) [1 hour from now](timeRange).	BookRestaurant	True
Book me a [restaurant](restaurant_type) reservation for a party of [8](party_size_number) [ten hours from now](timeRange)	BookRestaurant	True
I want to book [Ribera Steakhouse](restaurant_name) in [Sint Maarten](country) for [tamra, desiree and lesley](party_size_description).	BookRestaurant	True
book a table for [me and bettye](party_size_description) at [Washington, D.C. Jewish Community Center](restaurant_name) in [Montana](state)	BookRestaurant	True
Book a reservation for [3](party_size_number) at [Union Square Cafe](restaurant_name)	BookRestaurant	True
I want to book a [restaurant](restaurant_type) [close](spatial_relation) by [my girlfriend's work location](poi) on [11/22/2038](timeRange).	BookRestaurant	True
need a table for [2](party_size_number) in [Kuwait](country)	BookRestaurant	True
I want to book a [restaurant](restaurant_type) [in 1 day](timeRange) for [me and my boyfriend](party_size_description).	BookRestaurant	True
Want to book a table at a [restaurant](restaurant_type) in [Samoa](country)	BookRestaurant	True
I want to book a [restaurant](restaurant_type) in [Cooperdale](city) for [five](party_size_number) people.	BookRestaurant	True
Book spot in [twelve hours nineteen minutes and seven seconds from now](timeRange) at a [cafe](restaurant_type) that serves [molise](cuisine)	BookRestaurant	True
Book me a reservation for [Ad Hoc](restaurant_name) in [Brazil](country) for a party of [7](party_size_number)	BookRestaurant	True
Book me a reservation for a [rajasthani](cuisine) [restaurant](restaurant_type) in [Micronesia](country)	BookRestaurant	True
I want to book a [restaurant](restaurant_type) in [Glenarden](city) [South Dakota](state) for [two](party_size_number) people.	BookRestaurant	True
Book a reservation for a [highly rated](sort) [cafeteria](restaurant_type) on [october the 11th](timeRange)	BookRestaurant	True
book a table in [Grove Place](city) for [two](party_size_number)	BookRestaurant	True
book a table for [now](timeRange) for [4](party_size_number) for an [oyster bar](restaurant_type)	BookRestaurant	True
Book me a reservation for [six](party_size_number) in [Mar](timeRange). at a [coffeehouse](restaurant_type) [neighboring](spatial_relation) [Scott Depot](city)	BookRestaurant	True
book a table at [Big City Burrito](restaurant_name) in [Tower City](city)	BookRestaurant	True
Book a table at [Georgetown Cupcake](restaurant_name) in [GA](state) for [two](party_size_number) people	BookRestaurant	True
I want to book a [restaurant](restaurant_type) [not far](spatial_relation) from [our college](poi).	BookRestaurant	True
I want to book a [restaurant](restaurant_type) [far](spatial_relation) from [Rollins](city) for [four](party_size_number) people [in eighteen seconds](timeRange) .	BookRestaurant	True
Book me a reservation for [six](party_size_number) for [Crown Burgers](restaurant_name) in [Lebanon](country)	BookRestaurant	True
book spot at [Candle Cafe](restaurant_name)	BookRestaurant	True
book a table for [lillian and edna](party_size_description) at [The Berghoff](restaurant_name)	BookRestaurant	True
book spot at [highly rated](sort) [pub](restaurant_type) on [tisha b'av](timeRange)	BookRestaurant	True
Need a reservation [close-by](spatial_relation) [East Hanover](city).	BookRestaurant	True
Get a [chimichanga](served_dish) [meal](timeRange) at a [bakery](restaurant_type)	BookRestaurant	True
I want to book a [restaurant](restaurant_type) [within the same area](spatial_relation) of [Horse Pasture](city).	BookRestaurant	True
Book me a reservation for a [top-rated](sort) [pub](restaurant_type) in [Ladue](city), [Colorado](state)	BookRestaurant	True
Book a reservation for a [pub](restaurant_type) serving [croquembouche](served_dish)	BookRestaurant	True
I would like to book reservations for the [Venetian Theatre](restaurant_name) in [Hepler](city) for a party of [6](party_size_number).	BookRestaurant	True
Book me a table at a [restaurant](restaurant_type) in [Ellisport](city), [MH](state).	BookRestaurant	True
I want to book a [indonesian](cuisine) [brasserie](restaurant_type) [far](spatial_relation) from [Savoonga](city) on [february eleventh](timeRange).	BookRestaurant	True
Book a reservation for [10](party_size_number) people for [highly rated](sort) [fast food](restaurant_type) [nearby](spatial_relation) [Bristol Bay Borough](poi)	BookRestaurant	True
I want to book a [restaurant](restaurant_type) in [Gray Horse](city).	BookRestaurant	True
I want to book a [highly rated](sort) [restaurant](restaurant_type) in [Lake Junaluska](city).	BookRestaurant	True
book a restautant in [North Dakota](state) at a [bistro](restaurant_type) that is [indoor](facility)	BookRestaurant	True
I want to book a [russian](cuisine) [bar](restaurant_type) for [seven](party_size_number) people in [MN](state) [21 hours from now](timeRange).	BookRestaurant	True
I want to book [Jacob Wirth Restaurant](restaurant_name) in [West Virginia](state) for [me and my baby](party_size_description).	BookRestaurant	True
book a [turkish](cuisine) [restaurant](restaurant_type) in [DE](state)	BookRestaurant	True
I want to book a [restaurant](restaurant_type) [distant](spatial_relation) from [lynette's position](poi) for [julia and rosanna](party_size_description).	BookRestaurant	True
book spot for [dolores, leona clark and I](party_size_description) at [The Green Shack](restaurant_name) in [Indonesia](country)	BookRestaurant	True
Need a table for [the day after tomorrow](timeRange) in [Clarenceville](city) at the [Black Rapids Roadhouse](restaurant_name)	BookRestaurant	True
I want to book a [restaurant](restaurant_type) for [eight](party_size_number) in [Harding](city).	BookRestaurant	True
book a table at a [pub](restaurant_type) on [jun. 17, 2023](timeRange)	BookRestaurant	True
Please make a booking at [Sonoy](restaurant_name) in [Montague](city), [LA](state).	BookRestaurant	True
book a party of [four](party_size_number) at a [highly rated](sort) [pub](restaurant_type)	BookRestaurant	True
I want to book a [highly rated](sort) [restaurant](restaurant_type) in [VA](state) for [one](party_size_number) person at [zero am](timeRange).	BookRestaurant	True
book a table [1 year from now](timeRange) for [corinne, tisha and I](party_size_description) at a [restaurant](restaurant_type) in [Guernsey](country) that is [top-rated](sort)	BookRestaurant	True
Book a reservation for [arlene stewart and I](party_size_description) at [The Laundromat Cafe](restaurant_name) in [South Dakota](state)	BookRestaurant	True
Need a table for [breakfast](timeRange) in [North Carolina](state) for the [Bobcat Bite](restaurant_name)	BookRestaurant	True
I want a table at a [highly rated](sort) [pub](restaurant_type) sometime [this year](timeRange)	BookRestaurant	True
I want to book [Dinner by Heston Blumenthal](restaurant_name) in [AL](state).	BookRestaurant	True
I want to book the [Pollen Street Social](restaurant_name) in [South Dartmouth](city) for this [morning](timeRange).	BookRestaurant	True
I want to book a [pub](restaurant_type) in a [spa](facility) for [five](party_size_number) people.	BookRestaurant	True
I want to be [Main Deli Steak House](restaurant_name) [near](spatial_relation) [Hendley](city).	BookRestaurant	True
Book me a reservation for a [burrito](served_dish) [restaurant](restaurant_type) [faraway](spatial_relation) from [katy's hostel](poi) for a party of [4](party_size_number)	BookRestaurant	True
I want to book an [outdoor](facility) [restaurant](restaurant_type) for [Sat](timeRange).	BookRestaurant	True
Book me a reservation for a [javanese](cuisine) [bar](restaurant_type) in [Texas](state)	BookRestaurant	True
Book a reservation for [genevieve and lucia](party_size_description) at a [food court](restaurant_type) in [argentinian](cuisine)	BookRestaurant	True
Book me a reservation in [Kenya](country) for a party of [six](party_size_number)	BookRestaurant	True
Book a reservation for [one](party_size_number) at the [Blue Wall Cafe](restaurant_name) in [Allakaket](city), [MT](state)	BookRestaurant	True
I want to book the [best](sort) [oyster bar](restaurant_type) in [Dulce](city) for [six](party_size_number) people.	BookRestaurant	True
I want to book a [bakery](restaurant_type) in [Alamosa](city) for [three](party_size_number) people.	BookRestaurant	True
I want to book a restaurant in [Tunisia](country) for [nelda, rae and I](party_size_description) at [01:55:48 p.m](timeRange).	BookRestaurant	True
I want to book a [delicatessen](restaurant_type) serving [testaroli](served_dish) in [Somalia](country) for [7/25/2027](timeRange).	BookRestaurant	True
Book me a reservation for [Fatty Crew](restaurant_name) [in 13 weeks](timeRange) in [Haskell](city)	BookRestaurant	True
I want to book a [restaurant](restaurant_type) at [sunrise](timeRange) for [4](party_size_number) people.	BookRestaurant	True
I want to book a [restaurant](restaurant_type) in [Gambia](country) for [six](party_size_number) people.	BookRestaurant	True
I want to book a [French Guiana](country) [restaurant](restaurant_type) [indoor](facility).	BookRestaurant	True
book spot for [me and my teens](party_size_description) at [Cherry Street Hotel](restaurant_name) in [MH](state)	BookRestaurant	True
I want to book a [highly rated](sort) [restaurant](restaurant_type) for [sue, madeline and I](party_size_description) [in eight years](timeRange) .	BookRestaurant	True
party of [9](party_size_number) somewhere [near](spatial_relation) [Bow](poi) [in eleven years](timeRange)	BookRestaurant	True
I want to find a nice [coffeehouse](restaurant_type) in [South Burlington](city) [Illinois](state)	BookRestaurant	True
I want to book a [churrascaria](restaurant_type) restaurant for [ten](party_size_number) people.	BookRestaurant	True
I need a table at a [steakhouse](restaurant_type) in [Encino](city) that serves [meatcake](served_dish)	BookRestaurant	True
Book me a [restaurant](restaurant_type) reservation at [3](timeRange)	BookRestaurant	True
Book a reservation for [seven](party_size_number) people at a [steakhouse](restaurant_type) in [Kenya](country)	BookRestaurant	True
I want to book an [indoor](facility) [brasserie](restaurant_type) [within walking distance](spatial_relation) in [ME](state).	BookRestaurant	True
Book a reservation for [nellie davis, willie and patsy rogers](party_size_description) for a [highly rated](sort) [diner](restaurant_type)	BookRestaurant	True
I want to book a [restaurant](restaurant_type) [near](spatial_relation) [Oaktown](city).	BookRestaurant	True
Book a reservation for a [restaurant](restaurant_type) in [Yemen](country)	BookRestaurant	True
Book a reservation for [my parents and I](party_size_description) at [Red Crown Tourist Court](restaurant_name) in [Slovakia](country)	BookRestaurant	True
Book a [restaurant](restaurant_type) reservation for [one](party_size_number) in [AR](state)	BookRestaurant	True
I need a table for [me and my best friend](party_size_description) at [San Francisco Brewing Company](restaurant_name).	BookRestaurant	True
I want to book a [varenyky](cuisine) [restaurant](restaurant_type) in [Croatia](country).	BookRestaurant	True
book spot for [nine](party_size_number) at [Fish Express](restaurant_name) in [Mongolia](country)	BookRestaurant	True
find me a [restaurant](restaurant_type) in [Pembine](city) [Montana](state)	BookRestaurant	True
I want to book a [brasserie](restaurant_type) in [Luxembourg](country) [tomorrow](timeRange).	BookRestaurant	True
I want to book a [pizzeria](restaurant_type) in [Afghanistan](country).	BookRestaurant	True
Find a [restaurant](restaurant_type) for [marylou and I](party_size_description) [within walking distance](spatial_relation) of [my mum's hotel](poi)	BookRestaurant	True
book spot for [colleen peterson, rosanna and I](party_size_description) at the [best](sort) [bar](restaurant_type) in [Bonaire](country) at [08:02:59](timeRange)	BookRestaurant	True
Book a reservation for [7](party_size_number) for a [top-rated](sort) [restaurant](restaurant_type) on [July second, 2037](timeRange) in [Gardner](city), [Indiana](state)	BookRestaurant	True
Please book reservations in [NY](state) for [two](party_size_number) [in 1 month](timeRange) at [Windows on the World](restaurant_name)	BookRestaurant	True
book spot for [2](party_size_number) at a [restaurant](restaurant_type) that serves [pastas](served_dish)	BookRestaurant	True
book a party of [9](party_size_number) for [The Wieners Circle](restaurant_name) in [Palau](state)	BookRestaurant	True
I want to book a [restaurant](restaurant_type) for [3](party_size_number) people [next year](timeRange) in [Delaware](state).	BookRestaurant	True
I need a table for [4](party_size_number) at a [restaurant](restaurant_type) around [0 Am](timeRange).	BookRestaurant	True
book [me and my grandparents](party_size_description) a [restaurant](restaurant_type) in [Saint Helens](city) [South Dakota](state)	BookRestaurant	True
I want to book [The Bishops Buttery](restaurant_name) for [five](party_size_number) people in [Shrewsbury](city).	BookRestaurant	True
I want a table at a [pub](restaurant_type) that serves [brunswick stew](served_dish) in [OH](state)	BookRestaurant	True
Book reservation for [my nieces and I](party_size_description) at [Light Horse Tavern](restaurant_name)	BookRestaurant	True
Book me a reservation for [4](party_size_number) at an [oyster bar](restaurant_type) [now](timeRange)	BookRestaurant	True
Book a reservation for [seven](party_size_number) at [Harper Woods](city)	BookRestaurant	True
Book a reservation for [10](party_size_number) people in [Gambia](country) on [february the nineteenth, 2040](timeRange)	BookRestaurant	True
book a table for a party of [6](party_size_number)	BookRestaurant	True
Book a reservation for [9](party_size_number) people at the [best](sort) [osteria](restaurant_type) restaurant	BookRestaurant	True
I want to book an [oyster bar](restaurant_type) for [five](party_size_number) people.	BookRestaurant	True
I want to book a [top-rated](sort) [restaurant](restaurant_type) in [Idana](city).	BookRestaurant	True
Book me a reservation for a party of [five](party_size_number) for an [afghan](cuisine) [tea house](restaurant_type)	BookRestaurant	True
Book a reservation for [hester, pat and I](party_size_description) at the [best](sort) [restaurant](restaurant_type) [distant](spatial_relation) from [Mexico](country)	BookRestaurant	True
book a [smoking room](facility) in [OR](state) at a [bar](restaurant_type)	BookRestaurant	True
book spot for [my mother in law and I](party_size_description) at [18 o'clock](timeRange)	BookRestaurant	True
book a table at a [restaurant](restaurant_type) for [six](party_size_number) people in a [nearby](spatial_relation) [caribbean](cuisine) cafe in [Waiteville](city)	BookRestaurant	True
I want to book a [restaurant](restaurant_type) for [9](party_size_number) people.	BookRestaurant	True
book spot in [Lebanon](country) for [ten weeks from now](timeRange)	BookRestaurant	True
Get me a table for [7](party_size_number) people at [Villa Bethania](restaurant_name).	BookRestaurant	True
I need a place that serves [smelt](served_dish) for a party of [4](party_size_number), preferably a [taverna](restaurant_type)	BookRestaurant	True
I want a table for [four](party_size_number) at the [Union Auto Company](restaurant_name) in [Serbia](country)	BookRestaurant	True
book a table in [Montenegro](country) for [alissa, cornelia williams and katrina](party_size_description) at [osteria](restaurant_type)	BookRestaurant	True
book a table for [midnight](timeRange) for [6](party_size_number) in [Nesco](city)	BookRestaurant	True
I want to book a [highly rated](sort) [fast food restaurant](restaurant_type) [now](timeRange).	BookRestaurant	True
book spot at a [balinese](cuisine) [joint](restaurant_type)	BookRestaurant	True
Book a table for [11/5/2037](timeRange) in [Washington](state) for [seven](party_size_number) people	BookRestaurant	True
Book a reservation for [dorothy, kayla and I](party_size_description) for the [best](sort) [osteria restaurant](restaurant_type)	BookRestaurant	True
I want to book [Mars 2112](restaurant_name) in [Finland](country) for [four](party_size_number) people.	BookRestaurant	True
book a party of [4](party_size_number) at [Louisiana Fried Chicken](restaurant_name)	BookRestaurant	True
book spot for [eight](party_size_number) [close](spatial_relation) to [Marion Center](poi)	BookRestaurant	True
Book a reservation for [6](party_size_number) people in [Delaware](state) at [10 a.m.](timeRange)	BookRestaurant	True
I want to book [The Green Shack](restaurant_name) in [GA](state) for [9](party_size_number) people.	BookRestaurant	True
Book a place [now](timeRange) for [2](party_size_number)	BookRestaurant	True
Book me a [restaurant](restaurant_type) reservation for [seven a.m](timeRange)[not far](spatial_relation) from [their chalet](poi)	BookRestaurant	True
Book a [restaurant](restaurant_type) reservation in [ND](state)	BookRestaurant	True
I need a table for [nine](party_size_number) at a nice [restaurant](restaurant_type) that is [popular](sort)	BookRestaurant	True
I need to book a [restaurant](restaurant_type) for [my baby and I](party_size_description) [this summer](timeRange) at a [brasserie](restaurant_type)	BookRestaurant	True
book a table in [Micronesia](country) for [rajasthani](cuisine) food at any [restaurant](restaurant_type)	BookRestaurant	True
I want book a [french](cuisine) [fast food restaurant](restaurant_type) for [2](party_size_number) people.	BookRestaurant	True
Book a reservation for a [blinis](served_dish) [bar](restaurant_type) in [Palestine](country)	BookRestaurant	True
Book a spot for [me and kathrine](party_size_description) at [Smithville](city)	BookRestaurant	True
Book me a reservation for a [ligurian](cuisine) [bar](restaurant_type) in [Belgium](country)	BookRestaurant	True
Book me a reservation for [The Brazen Head](restaurant_name) [close by](spatial_relation) to [my university](poi)	BookRestaurant	True
Book a reservation for an [indonesian](cuisine) [brasserie](restaurant_type) on [9/13/2017](timeRange)	BookRestaurant	True
I want to book a [german](cuisine) [joint](restaurant_type) for [12 seconds from now](timeRange).	BookRestaurant	True
I want to book a restaurant in [Massachusetts](state) for [six p.m](timeRange).	BookRestaurant	True
I would like to book a reservation for [kaitlin and I](party_size_description) at [Lone Star Cafe](restaurant_name) 	BookRestaurant	True
Book me a reservation for [8](party_size_number) at [fourteen](timeRange) in [South Carolina](state)	BookRestaurant	True
I want to book an [osteria](restaurant_type) that serves [arepa](served_dish) for [6](party_size_number) people.	BookRestaurant	True
[me and jocelyn](party_size_description) want to eat a [restaurant](restaurant_type) in [Georgia](country)	BookRestaurant	True
I need a table for [seven](party_size_number) in [Honduras](country) [within walking distance](spatial_relation)	BookRestaurant	True
Book a reservation for [four](party_size_number) this [Afternoon](timeRange) at a [highly rated](sort) [food court](restaurant_type)	BookRestaurant	True
Book a reservation for [seven](party_size_number) people at [Fraser Mansion](restaurant_name) in [IL](state)	BookRestaurant	True
Book me a table around [11](timeRange) at a [restaurant](restaurant_type) which serves [macaroni and cheese](served_dish) in [Tyronza](city).	BookRestaurant	True
book a table in [CA](state) for [2](party_size_number) people [in 3 hours](timeRange)	BookRestaurant	True
Book me a reservation at a [goan](cuisine) [restaurant](restaurant_type) for [5](party_size_number) people	BookRestaurant	True
I want to book a [bar](restaurant_type) in [NM](state).	BookRestaurant	True
I want to book [Meriton Grand Hotel Tallinn](restaurant_name) in [New Jersey](state) for [four](party_size_number) people.	BookRestaurant	True
I want to book the [Hard Times Cafe](restaurant_name) for [9](party_size_number) people.	BookRestaurant	True
Book a reservation for [Savoy Hotel and Grill](restaurant_name) [not far](spatial_relation) from [our secondary residence](poi)	BookRestaurant	True
I want to book a [restaurant](restaurant_type) for [3](party_size_number) people in [Ohio](state).	BookRestaurant	True
Book a [restaurant](restaurant_type) with a [spa](facility) in [Connecticut](state)	BookRestaurant	True
I want to book [Laurelhurst Theater](restaurant_name) [within walking distance](spatial_relation) of [their airbnb](poi) for [me and luella carter](party_size_description) [in seventeen seconds](timeRange).	BookRestaurant	True
I want to book a [food truck](restaurant_type) in [Albania](country) for [ten](party_size_number) people.	BookRestaurant	True
I need a table in [West Virginia](state) for [me and my baby](party_size_description) at [Jacob Wirth Restaurant](restaurant_name)	BookRestaurant	True
I want to book a [highly rated](sort) [tea house](restaurant_type) in [Westmoreland City](city) for [9](party_size_number) people.	BookRestaurant	True
I want to book a [delicatessen](restaurant_type) [42 weeks from now](timeRange) with a [smoking room](facility) in [Cuzzart](city) [PA](state).	BookRestaurant	True
Book spot in [Fults](city) in [Federated States Of Micronesia](state)	BookRestaurant	True
book a table at a [restaurant](restaurant_type) for [me, roslyn and harriett](party_size_description) in [Lesterville](city)	BookRestaurant	True
I want to book the [best](sort) [pub](restaurant_type) for [one](party_size_number) person.	BookRestaurant	True
book spot for [victoria mendoza and whitney mendoza](party_size_description) at a [pub](restaurant_type) in [Callicoon](city) [in fifteen hours](timeRange)	BookRestaurant	True
book spot for [darlene, lauren gray and sasha](party_size_description) in [Oregon](state) that serves [brasserie](restaurant_type)	BookRestaurant	True
Need book a table at a [steakhouse](restaurant_type) that has [wifi](facility) in the country of [Malawi](country)	BookRestaurant	True
