Message	Intent	Training
How do I sync my [RunKeeper](WebService) workout schedule with [Google Calender](WebService)?	Sync Accounts	True
"Does using [Gmail](WebService)'s ""Never send it to Spam"" filter mean I can't train their spam filter?"	Filter Spam	True
Correctly Identifying Spam Messages	Filter Spam	True
[Twitter](WebService) and [Echofon](WebService) spam	Filter Spam	True
Totally Blocking Spam To [Gmail](WebService) Account	Filter Spam	True
Discarding spam mail faster in [Gmail](WebService)	Filter Spam	True
Stopping spam emails in [Gmail](WebService) by pattern	Filter Spam	True
Alternatives for [Google Reader](WebService) (with [Android](OperatingSystem) synchronizing)	Find Alternative	True
[Bugmenot](WebService) (registration bypasser) alternative that doesn't suck?	Find Alternative	True
Alternatives to [Twitter](WebService)	Find Alternative	True
[Google](WebService) search engine alternatives	Find Alternative	True
Alternatives to [Google Groups](WebService) with more features?	Find Alternative	True
Are there any good [Veoh](WebService) or [Youtube](WebService) alternatives?	Find Alternative	True
[Mint](WebService) alternatives for Canada	Find Alternative	True
How can I delete my [Twitter](WebService) account?	Delete Account	True
How do I delete my [LinkedIn](WebService) account?	Delete Account	True
How do I delete my [Gmail](WebService) account?	Delete Account	True
How do I delete my [Experts Exchange](WebService) account?	Delete Account	True
How do I delete my [Ohloh](WebService) profile?	Delete Account	True
How can I permanently delete my [MySpace](WebService) account?	Delete Account	True
How to disable/delete a [Harvest](WebService) account?	Delete Account	True
